date,brand_name,total_sales
3/10/2024,Folic Acid Tablets,18
4/10/2024,Folic Acid Tablets,13
5/10/2024,Folic Acid Tablets,18
6/10/2024,Folic Acid Tablets,6
7/10/2024,Folic Acid Tablets,22
8/10/2024,Folic Acid Tablets,24
9/10/2024,Folic Acid Tablets,12
10/10/2024,Folic Acid Tablets,11
11/10/2024,Folic Acid Tablets,8
12/10/2024,Folic Acid Tablets,9
13/10/2024,Folic Acid Tablets,18
14/10/2024,Folic Acid Tablets,20
15/10/2024,Folic Acid Tablets,23
16/10/2024,Folic Acid Tablets,8
17/10/2024,Folic Acid Tablets,6
18/10/2024,Folic Acid Tablets,14
19/10/2024,Folic Acid Tablets,10
20/10/2024,Folic Acid Tablets,23
21/10/2024,Folic Acid Tablets,20
22/10/2024,Folic Acid Tablets,17
23/10/2024,Folic Acid Tablets,11
24/10/2024,Folic Acid Tablets,10
25/10/2024,Folic Acid Tablets,7
26/10/2024,Folic Acid Tablets,10
27/10/2024,Folic Acid Tablets,9
28/10/2024,Folic Acid Tablets,23
29/10/2024,Folic Acid Tablets,13
30/10/2024,Folic Acid Tablets,13
31/10/2024,Folic Acid Tablets,28
1/11/2024,Folic Acid Tablets,8
2/11/2024,Folic Acid Tablets,7
3/11/2024,Folic Acid Tablets,7
4/11/2024,Folic Acid Tablets,12
5/11/2024,Folic Acid Tablets,8
6/11/2024,Folic Acid Tablets,10
7/11/2024,Folic Acid Tablets,14
8/11/2024,Folic Acid Tablets,11
9/11/2024,Folic Acid Tablets,12
10/11/2024,Folic Acid Tablets,8
11/11/2024,Folic Acid Tablets,6
12/11/2024,Folic Acid Tablets,10
13/11/2024,Folic Acid Tablets,7
14/11/2024,Folic Acid Tablets,8
15/11/2024,Folic Acid Tablets,0
16/11/2024,Folic Acid Tablets,13
17/11/2024,Folic Acid Tablets,15
18/11/2024,Folic Acid Tablets,7
19/11/2024,Folic Acid Tablets,12
20/11/2024,Folic Acid Tablets,12
21/11/2024,Folic Acid Tablets,4
22/11/2024,Folic Acid Tablets,1
23/11/2024,Folic Acid Tablets,4
24/11/2024,Folic Acid Tablets,5
25/11/2024,Folic Acid Tablets,6
26/11/2024,Folic Acid Tablets,15
27/11/2024,Folic Acid Tablets,8
28/11/2024,Folic Acid Tablets,7
29/11/2024,Folic Acid Tablets,7
30/11/2024,Folic Acid Tablets,15
1/12/2024,Folic Acid Tablets,3
2/12/2024,Folic Acid Tablets,9
3/12/2024,Folic Acid Tablets,12
4/12/2024,Folic Acid Tablets,7
5/12/2024,Folic Acid Tablets,11
6/12/2024,Folic Acid Tablets,12
7/12/2024,Folic Acid Tablets,9
8/12/2024,Folic Acid Tablets,8
9/12/2024,Folic Acid Tablets,9
10/12/2024,Folic Acid Tablets,13
11/12/2024,Folic Acid Tablets,3
12/12/2024,Folic Acid Tablets,5
13/12/2024,Folic Acid Tablets,12
14/12/2024,Folic Acid Tablets,5
15/12/2024,Folic Acid Tablets,8
16/12/2024,Folic Acid Tablets,3
17/12/2024,Folic Acid Tablets,3
18/12/2024,Folic Acid Tablets,7
19/12/2024,Folic Acid Tablets,5
20/12/2024,Folic Acid Tablets,8
21/12/2024,Folic Acid Tablets,5
22/12/2024,Folic Acid Tablets,10
23/12/2024,Folic Acid Tablets,9
24/12/2024,Folic Acid Tablets,8
25/12/2024,Folic Acid Tablets,9
26/12/2024,Folic Acid Tablets,9
27/12/2024,Folic Acid Tablets,6
28/12/2024,Folic Acid Tablets,12
29/12/2024,Folic Acid Tablets,7
30/12/2024,Folic Acid Tablets,4
31/12/2024,Folic Acid Tablets,21
1/1/2025,Folic Acid Tablets,9
2/1/2025,Folic Acid Tablets,6
3/1/2025,Folic Acid Tablets,15
4/1/2025,Folic Acid Tablets,13
5/1/2025,Folic Acid Tablets,5
6/1/2025,Folic Acid Tablets,12
7/1/2025,Folic Acid Tablets,12
8/1/2025,Folic Acid Tablets,10
9/1/2025,Folic Acid Tablets,15
10/1/2025,Folic Acid Tablets,11
11/1/2025,Folic Acid Tablets,8
12/1/2025,Folic Acid Tablets,7
13/01/2025,Folic Acid Tablets,11
14/01/2025,Folic Acid Tablets,9
15/01/2025,Folic Acid Tablets,21
16/01/2025,Folic Acid Tablets,20
17/01/2025,Folic Acid Tablets,8
18/01/2025,Folic Acid Tablets,24
19/01/2025,Folic Acid Tablets,22
20/01/2025,Folic Acid Tablets,20
21/01/2025,Folic Acid Tablets,7
22/01/2025,Folic Acid Tablets,19
23/01/2025,Folic Acid Tablets,19
24/01/2025,Folic Acid Tablets,14
25/01/2025,Folic Acid Tablets,8
26/01/2025,Folic Acid Tablets,13
27/01/2025,Folic Acid Tablets,10
28/01/2025,Folic Acid Tablets,15
29/01/2025,Folic Acid Tablets,13
30/01/2025,Folic Acid Tablets,13
31/01/2025,Folic Acid Tablets,23
1/2/2025,Folic Acid Tablets,4
2/2/2025,Folic Acid Tablets,14
3/2/2025,Folic Acid Tablets,12
4/2/2025,Folic Acid Tablets,3
5/2/2025,Folic Acid Tablets,10
6/2/2025,Folic Acid Tablets,6
7/2/2025,Folic Acid Tablets,12
8/2/2025,Folic Acid Tablets,7
9/2/2025,Folic Acid Tablets,21
10/2/2025,Folic Acid Tablets,11
11/2/2025,Folic Acid Tablets,7
12/2/2025,Folic Acid Tablets,9
13/02/2025,Folic Acid Tablets,8
14/02/2025,Folic Acid Tablets,12
15/02/2025,Folic Acid Tablets,15
16/02/2025,Folic Acid Tablets,12
17/02/2025,Folic Acid Tablets,25
18/02/2025,Folic Acid Tablets,9
19/02/2025,Folic Acid Tablets,9
20/02/2025,Folic Acid Tablets,20
1/1/2024,Hartmann's Solution,13
2/1/2024,Hartmann's Solution,5
3/1/2024,Hartmann's Solution,9
4/1/2024,Hartmann's Solution,8
5/1/2024,Hartmann's Solution,13
6/1/2024,Hartmann's Solution,4
7/1/2024,Hartmann's Solution,15
8/1/2024,Hartmann's Solution,4
9/1/2024,Hartmann's Solution,10
10/1/2024,Hartmann's Solution,4
11/1/2024,Hartmann's Solution,13
12/1/2024,Hartmann's Solution,4
13/01/2024,Hartmann's Solution,12
14/01/2024,Hartmann's Solution,10
15/01/2024,Hartmann's Solution,8
16/01/2024,Hartmann's Solution,14
17/01/2024,Hartmann's Solution,11
18/01/2024,Hartmann's Solution,4
19/01/2024,Hartmann's Solution,8
20/01/2024,Hartmann's Solution,4
21/01/2024,Hartmann's Solution,8
22/01/2024,Hartmann's Solution,5
23/01/2024,Hartmann's Solution,6
24/01/2024,Hartmann's Solution,15
25/01/2024,Hartmann's Solution,3
26/01/2024,Hartmann's Solution,5
27/01/2024,Hartmann's Solution,22
28/01/2024,Hartmann's Solution,3
29/01/2024,Hartmann's Solution,9
30/01/2024,Hartmann's Solution,4
31/01/2024,Hartmann's Solution,19
1/2/2024,Hartmann's Solution,8
2/2/2024,Hartmann's Solution,4
3/2/2024,Hartmann's Solution,13
4/2/2024,Hartmann's Solution,9
5/2/2024,Hartmann's Solution,9
6/2/2024,Hartmann's Solution,12
7/2/2024,Hartmann's Solution,4
8/2/2024,Hartmann's Solution,15
9/2/2024,Hartmann's Solution,13
10/2/2024,Hartmann's Solution,9
11/2/2024,Hartmann's Solution,3
12/2/2024,Hartmann's Solution,7
13/02/2024,Hartmann's Solution,8
14/02/2024,Hartmann's Solution,14
15/02/2024,Hartmann's Solution,7
16/02/2024,Hartmann's Solution,8
17/02/2024,Hartmann's Solution,8
18/02/2024,Hartmann's Solution,12
19/02/2024,Hartmann's Solution,14
20/02/2024,Hartmann's Solution,10
21/02/2024,Hartmann's Solution,6
22/02/2024,Hartmann's Solution,9
23/02/2024,Hartmann's Solution,7
24/02/2024,Hartmann's Solution,10
25/02/2024,Hartmann's Solution,10
26/02/2024,Hartmann's Solution,8
27/02/2024,Hartmann's Solution,10
28/02/2024,Hartmann's Solution,9
29/02/2024,Hartmann's Solution,16
1/3/2024,Hartmann's Solution,11
2/3/2024,Hartmann's Solution,9
3/3/2024,Hartmann's Solution,10
4/3/2024,Hartmann's Solution,5
5/3/2024,Hartmann's Solution,10
6/3/2024,Hartmann's Solution,7
7/3/2024,Hartmann's Solution,4
8/3/2024,Hartmann's Solution,17
9/3/2024,Hartmann's Solution,17
10/3/2024,Hartmann's Solution,6
11/3/2024,Hartmann's Solution,17
12/3/2024,Hartmann's Solution,11
13/03/2024,Hartmann's Solution,10
14/03/2024,Hartmann's Solution,7
15/03/2024,Hartmann's Solution,11
16/03/2024,Hartmann's Solution,3
17/03/2024,Hartmann's Solution,10
18/03/2024,Hartmann's Solution,5
19/03/2024,Hartmann's Solution,2
20/03/2024,Hartmann's Solution,12
21/03/2024,Hartmann's Solution,17
22/03/2024,Hartmann's Solution,17
23/03/2024,Hartmann's Solution,4
24/03/2024,Hartmann's Solution,10
25/03/2024,Hartmann's Solution,18
26/03/2024,Hartmann's Solution,16
27/03/2024,Hartmann's Solution,10
28/03/2024,Hartmann's Solution,15
29/03/2024,Hartmann's Solution,9
30/03/2024,Hartmann's Solution,13
31/03/2024,Hartmann's Solution,24
1/4/2024,Hartmann's Solution,8
2/4/2024,Hartmann's Solution,13
3/4/2024,Hartmann's Solution,5
4/4/2024,Hartmann's Solution,5
5/4/2024,Hartmann's Solution,7
6/4/2024,Hartmann's Solution,8
7/4/2024,Hartmann's Solution,11
8/4/2024,Hartmann's Solution,11
9/4/2024,Hartmann's Solution,16
10/4/2024,Hartmann's Solution,11
11/4/2024,Hartmann's Solution,14
12/4/2024,Hartmann's Solution,12
13/04/2024,Hartmann's Solution,12
14/04/2024,Hartmann's Solution,8
15/04/2024,Hartmann's Solution,3
16/04/2024,Hartmann's Solution,9
17/04/2024,Hartmann's Solution,8
18/04/2024,Hartmann's Solution,9
19/04/2024,Hartmann's Solution,11
20/04/2024,Hartmann's Solution,8
21/04/2024,Hartmann's Solution,11
22/04/2024,Hartmann's Solution,10
23/04/2024,Hartmann's Solution,12
24/04/2024,Hartmann's Solution,9
25/04/2024,Hartmann's Solution,9
26/04/2024,Hartmann's Solution,5
27/04/2024,Hartmann's Solution,12
28/04/2024,Hartmann's Solution,2
29/04/2024,Hartmann's Solution,13
30/04/2024,Hartmann's Solution,10
1/5/2024,Hartmann's Solution,9
2/5/2024,Hartmann's Solution,12
3/5/2024,Hartmann's Solution,7
4/5/2024,Hartmann's Solution,12
5/5/2024,Hartmann's Solution,7
6/5/2024,Hartmann's Solution,7
7/5/2024,Hartmann's Solution,10
8/5/2024,Hartmann's Solution,8
9/5/2024,Hartmann's Solution,9
10/5/2024,Hartmann's Solution,10
11/5/2024,Hartmann's Solution,8
12/5/2024,Hartmann's Solution,7
13/05/2024,Hartmann's Solution,5
14/05/2024,Hartmann's Solution,9
15/05/2024,Hartmann's Solution,15
16/05/2024,Hartmann's Solution,13
17/05/2024,Hartmann's Solution,13
18/05/2024,Hartmann's Solution,8
19/05/2024,Hartmann's Solution,8
20/05/2024,Hartmann's Solution,9
21/05/2024,Hartmann's Solution,5
22/05/2024,Hartmann's Solution,22
23/05/2024,Hartmann's Solution,13
24/05/2024,Hartmann's Solution,11
25/05/2024,Hartmann's Solution,8
26/05/2024,Hartmann's Solution,17
27/05/2024,Hartmann's Solution,14
28/05/2024,Hartmann's Solution,15
29/05/2024,Hartmann's Solution,11
30/05/2024,Hartmann's Solution,8
31/05/2024,Hartmann's Solution,20
1/6/2024,Hartmann's Solution,8
2/6/2024,Hartmann's Solution,7
3/6/2024,Hartmann's Solution,7
4/6/2024,Hartmann's Solution,18
5/6/2024,Hartmann's Solution,9
6/6/2024,Hartmann's Solution,16
7/6/2024,Hartmann's Solution,4
8/6/2024,Hartmann's Solution,12
9/6/2024,Hartmann's Solution,7
10/6/2024,Hartmann's Solution,8
11/6/2024,Hartmann's Solution,13
12/6/2024,Hartmann's Solution,2
13/06/2024,Hartmann's Solution,15
14/06/2024,Hartmann's Solution,18
15/06/2024,Hartmann's Solution,12
16/06/2024,Hartmann's Solution,12
17/06/2024,Hartmann's Solution,10
18/06/2024,Hartmann's Solution,9
19/06/2024,Hartmann's Solution,8
20/06/2024,Hartmann's Solution,7
21/06/2024,Hartmann's Solution,10
22/06/2024,Hartmann's Solution,12
23/06/2024,Hartmann's Solution,7
24/06/2024,Hartmann's Solution,8
25/06/2024,Hartmann's Solution,8
26/06/2024,Hartmann's Solution,16
27/06/2024,Hartmann's Solution,13
28/06/2024,Hartmann's Solution,8
29/06/2024,Hartmann's Solution,9
30/06/2024,Hartmann's Solution,24
1/7/2024,Hartmann's Solution,11
2/7/2024,Hartmann's Solution,8
3/7/2024,Hartmann's Solution,8
4/7/2024,Hartmann's Solution,14
5/7/2024,Hartmann's Solution,15
6/7/2024,Hartmann's Solution,5
7/7/2024,Hartmann's Solution,13
8/7/2024,Hartmann's Solution,14
9/7/2024,Hartmann's Solution,8
10/7/2024,Hartmann's Solution,26
11/7/2024,Hartmann's Solution,21
12/7/2024,Hartmann's Solution,7
13/07/2024,Hartmann's Solution,5
14/07/2024,Hartmann's Solution,6
15/07/2024,Hartmann's Solution,24
16/07/2024,Hartmann's Solution,13
17/07/2024,Hartmann's Solution,8
18/07/2024,Hartmann's Solution,10
19/07/2024,Hartmann's Solution,13
20/07/2024,Hartmann's Solution,11
21/07/2024,Hartmann's Solution,17
22/07/2024,Hartmann's Solution,17
23/07/2024,Hartmann's Solution,20
24/07/2024,Hartmann's Solution,14
25/07/2024,Hartmann's Solution,11
26/07/2024,Hartmann's Solution,11
27/07/2024,Hartmann's Solution,18
28/07/2024,Hartmann's Solution,3
29/07/2024,Hartmann's Solution,18
30/07/2024,Hartmann's Solution,12
31/07/2024,Hartmann's Solution,21
1/8/2024,Hartmann's Solution,14
2/8/2024,Hartmann's Solution,31
3/8/2024,Hartmann's Solution,21
4/8/2024,Hartmann's Solution,17
5/8/2024,Hartmann's Solution,16
6/8/2024,Hartmann's Solution,27
7/8/2024,Hartmann's Solution,23
8/8/2024,Hartmann's Solution,17
9/8/2024,Hartmann's Solution,11
10/8/2024,Hartmann's Solution,20
11/8/2024,Hartmann's Solution,12
12/8/2024,Hartmann's Solution,28
13/08/2024,Hartmann's Solution,7
14/08/2024,Hartmann's Solution,16
15/08/2024,Hartmann's Solution,23
16/08/2024,Hartmann's Solution,17
17/08/2024,Hartmann's Solution,20
18/08/2024,Hartmann's Solution,9
19/08/2024,Hartmann's Solution,10
20/08/2024,Hartmann's Solution,27
21/08/2024,Hartmann's Solution,3
22/08/2024,Hartmann's Solution,16
23/08/2024,Hartmann's Solution,14
24/08/2024,Hartmann's Solution,23
25/08/2024,Hartmann's Solution,16
26/08/2024,Hartmann's Solution,17
27/08/2024,Hartmann's Solution,19
28/08/2024,Hartmann's Solution,9
29/08/2024,Hartmann's Solution,9
30/08/2024,Hartmann's Solution,20
31/08/2024,Hartmann's Solution,22
1/9/2024,Hartmann's Solution,18
2/9/2024,Hartmann's Solution,11
3/9/2024,Hartmann's Solution,7
4/9/2024,Hartmann's Solution,15
5/9/2024,Hartmann's Solution,12
6/9/2024,Hartmann's Solution,7
7/9/2024,Hartmann's Solution,22
8/9/2024,Hartmann's Solution,15
9/9/2024,Hartmann's Solution,15
10/9/2024,Hartmann's Solution,25
11/9/2024,Hartmann's Solution,20
12/9/2024,Hartmann's Solution,22
13/09/2024,Hartmann's Solution,17
14/09/2024,Hartmann's Solution,13
15/09/2024,Hartmann's Solution,16
16/09/2024,Hartmann's Solution,11
17/09/2024,Hartmann's Solution,29
18/09/2024,Hartmann's Solution,24
19/09/2024,Hartmann's Solution,19
20/09/2024,Hartmann's Solution,17
21/09/2024,Hartmann's Solution,18
22/09/2024,Hartmann's Solution,19
23/09/2024,Hartmann's Solution,26
24/09/2024,Hartmann's Solution,19
25/09/2024,Hartmann's Solution,16
26/09/2024,Hartmann's Solution,21
27/09/2024,Hartmann's Solution,20
28/09/2024,Hartmann's Solution,17
29/09/2024,Hartmann's Solution,14
30/09/2024,Hartmann's Solution,18
1/10/2024,Hartmann's Solution,18
2/10/2024,Hartmann's Solution,9
3/10/2024,Hartmann's Solution,10
4/10/2024,Hartmann's Solution,19
5/10/2024,Hartmann's Solution,18
6/10/2024,Hartmann's Solution,8
7/10/2024,Hartmann's Solution,16
8/10/2024,Hartmann's Solution,20
9/10/2024,Hartmann's Solution,9
10/10/2024,Hartmann's Solution,17
11/10/2024,Hartmann's Solution,12
12/10/2024,Hartmann's Solution,6
13/10/2024,Hartmann's Solution,14
14/10/2024,Hartmann's Solution,15
15/10/2024,Hartmann's Solution,14
16/10/2024,Hartmann's Solution,11
17/10/2024,Hartmann's Solution,11
18/10/2024,Hartmann's Solution,9
19/10/2024,Hartmann's Solution,13
20/10/2024,Hartmann's Solution,26
21/10/2024,Hartmann's Solution,17
22/10/2024,Hartmann's Solution,22
23/10/2024,Hartmann's Solution,12
24/10/2024,Hartmann's Solution,15
25/10/2024,Hartmann's Solution,8
26/10/2024,Hartmann's Solution,13
27/10/2024,Hartmann's Solution,9
28/10/2024,Hartmann's Solution,10
29/10/2024,Hartmann's Solution,17
30/10/2024,Hartmann's Solution,5
31/10/2024,Hartmann's Solution,21
1/11/2024,Hartmann's Solution,9
2/11/2024,Hartmann's Solution,10
3/11/2024,Hartmann's Solution,4
4/11/2024,Hartmann's Solution,14
5/11/2024,Hartmann's Solution,4
6/11/2024,Hartmann's Solution,13
7/11/2024,Hartmann's Solution,13
8/11/2024,Hartmann's Solution,13
9/11/2024,Hartmann's Solution,10
10/11/2024,Hartmann's Solution,5
11/11/2024,Hartmann's Solution,6
12/11/2024,Hartmann's Solution,7
13/11/2024,Hartmann's Solution,7
14/11/2024,Hartmann's Solution,11
15/11/2024,Hartmann's Solution,8
16/11/2024,Hartmann's Solution,10
17/11/2024,Hartmann's Solution,12
18/11/2024,Hartmann's Solution,9
19/11/2024,Hartmann's Solution,3
20/11/2024,Hartmann's Solution,8
21/11/2024,Hartmann's Solution,3
22/11/2024,Hartmann's Solution,6
23/11/2024,Hartmann's Solution,6
24/11/2024,Hartmann's Solution,5
25/11/2024,Hartmann's Solution,8
26/11/2024,Hartmann's Solution,11
27/11/2024,Hartmann's Solution,10
28/11/2024,Hartmann's Solution,12
29/11/2024,Hartmann's Solution,9
30/11/2024,Hartmann's Solution,12
1/12/2024,Hartmann's Solution,7
2/12/2024,Hartmann's Solution,5
3/12/2024,Hartmann's Solution,14
4/12/2024,Hartmann's Solution,6
5/12/2024,Hartmann's Solution,8
6/12/2024,Hartmann's Solution,9
7/12/2024,Hartmann's Solution,10
8/12/2024,Hartmann's Solution,16
9/12/2024,Hartmann's Solution,11
10/12/2024,Hartmann's Solution,8
11/12/2024,Hartmann's Solution,7
12/12/2024,Hartmann's Solution,8
13/12/2024,Hartmann's Solution,11
14/12/2024,Hartmann's Solution,9
15/12/2024,Hartmann's Solution,7
16/12/2024,Hartmann's Solution,8
17/12/2024,Hartmann's Solution,5
18/12/2024,Hartmann's Solution,14
19/12/2024,Hartmann's Solution,3
20/12/2024,Hartmann's Solution,4
21/12/2024,Hartmann's Solution,6
22/12/2024,Hartmann's Solution,11
23/12/2024,Hartmann's Solution,8
24/12/2024,Hartmann's Solution,8
25/12/2024,Hartmann's Solution,6
26/12/2024,Hartmann's Solution,7
27/12/2024,Hartmann's Solution,9
28/12/2024,Hartmann's Solution,14
29/12/2024,Hartmann's Solution,5
30/12/2024,Hartmann's Solution,8
31/12/2024,Hartmann's Solution,29
1/1/2025,Hartmann's Solution,1
2/1/2025,Hartmann's Solution,4
3/1/2025,Hartmann's Solution,5
4/1/2025,Hartmann's Solution,11
5/1/2025,Hartmann's Solution,10
6/1/2025,Hartmann's Solution,10
7/1/2025,Hartmann's Solution,13
8/1/2025,Hartmann's Solution,17
9/1/2025,Hartmann's Solution,5
10/1/2025,Hartmann's Solution,12
11/1/2025,Hartmann's Solution,9
12/1/2025,Hartmann's Solution,7
13/01/2025,Hartmann's Solution,18
14/01/2025,Hartmann's Solution,9
15/01/2025,Hartmann's Solution,20
16/01/2025,Hartmann's Solution,24
17/01/2025,Hartmann's Solution,3
18/01/2025,Hartmann's Solution,24
19/01/2025,Hartmann's Solution,19
20/01/2025,Hartmann's Solution,19
21/01/2025,Hartmann's Solution,5
22/01/2025,Hartmann's Solution,16
23/01/2025,Hartmann's Solution,21
24/01/2025,Hartmann's Solution,12
25/01/2025,Hartmann's Solution,13
26/01/2025,Hartmann's Solution,10
27/01/2025,Hartmann's Solution,14
28/01/2025,Hartmann's Solution,9
29/01/2025,Hartmann's Solution,14
30/01/2025,Hartmann's Solution,13
31/01/2025,Hartmann's Solution,19
1/2/2025,Hartmann's Solution,9
2/2/2025,Hartmann's Solution,14
3/2/2025,Hartmann's Solution,17
4/2/2025,Hartmann's Solution,9
5/2/2025,Hartmann's Solution,8
6/2/2025,Hartmann's Solution,0
7/2/2025,Hartmann's Solution,3
8/2/2025,Hartmann's Solution,4
9/2/2025,Hartmann's Solution,22
10/2/2025,Hartmann's Solution,12
11/2/2025,Hartmann's Solution,9
12/2/2025,Hartmann's Solution,8
13/02/2025,Hartmann's Solution,3
14/02/2025,Hartmann's Solution,13
15/02/2025,Hartmann's Solution,13
16/02/2025,Hartmann's Solution,16
17/02/2025,Hartmann's Solution,8
18/02/2025,Hartmann's Solution,12
19/02/2025,Hartmann's Solution,6
20/02/2025,Hartmann's Solution,15
1/1/2024,Medisol,12
2/1/2024,Medisol,8
3/1/2024,Medisol,4
4/1/2024,Medisol,10
5/1/2024,Medisol,13
6/1/2024,Medisol,5
7/1/2024,Medisol,11
8/1/2024,Medisol,8
9/1/2024,Medisol,13
10/1/2024,Medisol,9
11/1/2024,Medisol,8
12/1/2024,Medisol,2
13/01/2024,Medisol,5
14/01/2024,Medisol,9
15/01/2024,Medisol,13
16/01/2024,Medisol,9
17/01/2024,Medisol,6
18/01/2024,Medisol,8
19/01/2024,Medisol,20
20/01/2024,Medisol,2
21/01/2024,Medisol,6
22/01/2024,Medisol,9
23/01/2024,Medisol,6
24/01/2024,Medisol,13
25/01/2024,Medisol,6
26/01/2024,Medisol,6
27/01/2024,Medisol,22
28/01/2024,Medisol,2
29/01/2024,Medisol,6
30/01/2024,Medisol,4
31/01/2024,Medisol,26
1/2/2024,Medisol,0
2/2/2024,Medisol,8
3/2/2024,Medisol,12
4/2/2024,Medisol,13
5/2/2024,Medisol,5
6/2/2024,Medisol,14
7/2/2024,Medisol,8
8/2/2024,Medisol,7
9/2/2024,Medisol,12
10/2/2024,Medisol,12
11/2/2024,Medisol,5
12/2/2024,Medisol,7
13/02/2024,Medisol,11
14/02/2024,Medisol,11
15/02/2024,Medisol,11
16/02/2024,Medisol,5
17/02/2024,Medisol,7
18/02/2024,Medisol,12
19/02/2024,Medisol,8
20/02/2024,Medisol,5
21/02/2024,Medisol,6
22/02/2024,Medisol,6
23/02/2024,Medisol,10
24/02/2024,Medisol,4
25/02/2024,Medisol,11
26/02/2024,Medisol,12
27/02/2024,Medisol,5
28/02/2024,Medisol,14
29/02/2024,Medisol,22
1/3/2024,Medisol,13
2/3/2024,Medisol,4
3/3/2024,Medisol,9
4/3/2024,Medisol,6
5/3/2024,Medisol,3
6/3/2024,Medisol,11
7/3/2024,Medisol,6
8/3/2024,Medisol,18
9/3/2024,Medisol,8
10/3/2024,Medisol,10
11/3/2024,Medisol,8
12/3/2024,Medisol,10
13/03/2024,Medisol,10
14/03/2024,Medisol,7
15/03/2024,Medisol,15
16/03/2024,Medisol,7
17/03/2024,Medisol,6
18/03/2024,Medisol,7
19/03/2024,Medisol,0
20/03/2024,Medisol,4
21/03/2024,Medisol,14
22/03/2024,Medisol,11
23/03/2024,Medisol,4
24/03/2024,Medisol,10
25/03/2024,Medisol,19
26/03/2024,Medisol,13
27/03/2024,Medisol,10
28/03/2024,Medisol,20
29/03/2024,Medisol,4
30/03/2024,Medisol,9
31/03/2024,Medisol,20
1/4/2024,Medisol,6
2/4/2024,Medisol,12
3/4/2024,Medisol,5
4/4/2024,Medisol,9
5/4/2024,Medisol,7
6/4/2024,Medisol,6
7/4/2024,Medisol,7
8/4/2024,Medisol,13
9/4/2024,Medisol,10
10/4/2024,Medisol,11
11/4/2024,Medisol,8
12/4/2024,Medisol,8
13/04/2024,Medisol,10
14/04/2024,Medisol,7
15/04/2024,Medisol,1
16/04/2024,Medisol,12
17/04/2024,Medisol,6
18/04/2024,Medisol,3
19/04/2024,Medisol,6
20/04/2024,Medisol,4
21/04/2024,Medisol,9
22/04/2024,Medisol,6
23/04/2024,Medisol,6
24/04/2024,Medisol,7
25/04/2024,Medisol,3
26/04/2024,Medisol,6
27/04/2024,Medisol,11
28/04/2024,Medisol,6
29/04/2024,Medisol,12
30/04/2024,Medisol,15
1/5/2024,Medisol,13
2/5/2024,Medisol,11
3/5/2024,Medisol,12
4/5/2024,Medisol,10
5/5/2024,Medisol,6
6/5/2024,Medisol,9
7/5/2024,Medisol,13
8/5/2024,Medisol,12
9/5/2024,Medisol,11
10/5/2024,Medisol,7
11/5/2024,Medisol,12
12/5/2024,Medisol,5
13/05/2024,Medisol,6
14/05/2024,Medisol,10
15/05/2024,Medisol,10
16/05/2024,Medisol,13
17/05/2024,Medisol,14
18/05/2024,Medisol,9
19/05/2024,Medisol,3
20/05/2024,Medisol,12
21/05/2024,Medisol,9
22/05/2024,Medisol,20
23/05/2024,Medisol,9
24/05/2024,Medisol,8
25/05/2024,Medisol,8
26/05/2024,Medisol,15
27/05/2024,Medisol,6
28/05/2024,Medisol,12
29/05/2024,Medisol,12
30/05/2024,Medisol,4
31/05/2024,Medisol,25
1/6/2024,Medisol,8
2/6/2024,Medisol,8
3/6/2024,Medisol,3
4/6/2024,Medisol,14
5/6/2024,Medisol,11
6/6/2024,Medisol,14
7/6/2024,Medisol,11
8/6/2024,Medisol,9
9/6/2024,Medisol,14
10/6/2024,Medisol,7
11/6/2024,Medisol,10
12/6/2024,Medisol,6
13/06/2024,Medisol,16
14/06/2024,Medisol,18
15/06/2024,Medisol,14
16/06/2024,Medisol,12
17/06/2024,Medisol,0
18/06/2024,Medisol,4
19/06/2024,Medisol,7
20/06/2024,Medisol,10
21/06/2024,Medisol,9
22/06/2024,Medisol,15
23/06/2024,Medisol,13
24/06/2024,Medisol,12
25/06/2024,Medisol,7
26/06/2024,Medisol,15
27/06/2024,Medisol,11
28/06/2024,Medisol,6
29/06/2024,Medisol,8
30/06/2024,Medisol,26
1/7/2024,Medisol,15
2/7/2024,Medisol,4
3/7/2024,Medisol,3
4/7/2024,Medisol,16
5/7/2024,Medisol,22
6/7/2024,Medisol,5
7/7/2024,Medisol,12
8/7/2024,Medisol,9
9/7/2024,Medisol,7
10/7/2024,Medisol,17
11/7/2024,Medisol,10
12/7/2024,Medisol,10
13/07/2024,Medisol,6
14/07/2024,Medisol,18
15/07/2024,Medisol,20
16/07/2024,Medisol,9
17/07/2024,Medisol,13
18/07/2024,Medisol,16
19/07/2024,Medisol,6
20/07/2024,Medisol,11
21/07/2024,Medisol,21
22/07/2024,Medisol,16
23/07/2024,Medisol,21
24/07/2024,Medisol,11
25/07/2024,Medisol,8
26/07/2024,Medisol,7
27/07/2024,Medisol,25
28/07/2024,Medisol,6
29/07/2024,Medisol,25
30/07/2024,Medisol,8
31/07/2024,Medisol,26
1/8/2024,Medisol,13
2/8/2024,Medisol,20
3/8/2024,Medisol,16
4/8/2024,Medisol,3
5/8/2024,Medisol,18
6/8/2024,Medisol,22
7/8/2024,Medisol,21
8/8/2024,Medisol,12
9/8/2024,Medisol,8
10/8/2024,Medisol,27
11/8/2024,Medisol,9
12/8/2024,Medisol,23
13/08/2024,Medisol,9
14/08/2024,Medisol,18
15/08/2024,Medisol,19
16/08/2024,Medisol,24
17/08/2024,Medisol,15
18/08/2024,Medisol,8
